shipment_id,date,origin_city,destination_city,carrier,product_category,shipment_volume_kg,distance_km,transport_cost_usd,delivery_time_hours,scheduled_delivery_hours,delay_hours,on_time_delivery,customer_satisfaction,warehouse_id
SHP000001,2026-06-13,Delhi,Mumbai,EcoTrans,FMCG,446.13142558039306,1490.7884894416698,296.7209919044599,33.01097746455566,34.19289152757627,-1.1819140630206135,1,5.0,W004
SHP000002,2026-02-05,Delhi,Pune,FastShip,Textiles,325.28417473636193,1445.3378978124865,301.90537571184944,35.48930116341158,40.20851855262332,-4.719217389211735,1,5.0,W007
SHP000003,2026-01-09,Mumbai,Delhi,GlobalLine,FMCG,250.76957191776796,678.0602616231216,180.51900450514705,14.733165942456202,16.67463426979234,-1.9414683273361373,1,5.0,W009
SHP000004,2026-06-04,Mumbai,Hyderabad,GlobalLine,Textiles,91.60662028039573,365.0383352388795,71.88828159031284,12.06987426974509,8.833260079481207,3.236614190263884,0,4.563450430730344,W007
SHP000005,2026-02-26,Ahmedabad,Kolkata,EcoTrans,Electronics,103.87642949629054,1225.5876808378807,115.92306923543066,20.235379704657202,31.430525894714645,-11.195146190057443,1,4.699873074947044,W003
SHP000006,2026-06-28,Pune,Bangalore,EcoTrans,FMCG,584.6708186087257,285.57701661212934,277.77570033030105,7.013134397299149,7.03687898156611,-0.0237445842669608,1,4.47114453552205,W004
SHP000007,2026-03-28,Delhi,Mumbai,PrimeLogistics,Electronics,151.51889982453605,692.2510445698808,144.8324632313624,12.159008819543722,17.50028755225224,-5.341278732708517,1,5.0,W006
SHP000008,2026-03-30,Kolkata,Ahmedabad,FastShip,Pharmaceuticals,52.003795393141544,1851.561046543922,191.75506342859794,41.670925553004544,42.911588427039085,-1.2406628740345411,1,4.849448152205356,W009
SHP000009,2026-02-01,Pune,Mumbai,EcoTrans,Textiles,93.70771719226758,1674.6012673886657,149.29530147022743,32.525981858209114,39.66394759840485,-7.137965740195739,1,4.434723847659217,W006
SHP000010,2026-05-28,Chennai,Pune,FastShip,Electronics,107.40989969394616,1624.1742634326754,201.61569760079655,37.674642462542614,45.34909197558571,-7.674449513043093,1,5.0,W004
SHP000011,2026-03-16,Delhi,Ahmedabad,GlobalLine,Electronics,168.16366030346157,1565.413658703297,191.4831606762006,46.60797355304641,37.80598337731393,8.801990175732485,0,3.3657243376530097,W007
SHP000012,2026-03-13,Ahmedabad,Hyderabad,EcoTrans,FMCG,640.5795275774353,220.7608655434449,276.3986685921848,6.361516125693689,5.287465551741293,1.0740505739523964,1,5.0,W006
SHP000013,2026-04-01,Chennai,Pune,EcoTrans,Electronics,96.8761008908899,327.22906728277326,66.12888349561399,10.873609359687785,8.692745371390531,2.1808639882972543,0,5.0,W010
SHP000014,2026-06-12,Bangalore,Hyderabad,GlobalLine,FMCG,405.65126779978823,1038.2116330923423,287.1823484599096,26.05893474065013,25.503924281335486,0.5550104593146443,1,4.794995278835602,W008
SHP000015,2026-04-08,Kolkata,Pune,GlobalLine,Automotive,1164.404197969254,1824.3763004595767,691.6415198894273,22.45291291617805,44.62843588350787,-22.17552296732982,1,4.60537083565104,W001
SHP000016,2026-02-28,Mumbai,Ahmedabad,EcoTrans,Pharmaceuticals,49.209997406569755,246.2618286747067,36.07645895196956,6.95034925558295,5.655976124966315,1.2943731306166342,1,5.0,W005
SHP000017,2026-01-17,Chennai,Hyderabad,EcoTrans,FMCG,240.9836215321726,1795.8620971309579,226.30341688922653,54.395335630696074,48.209273159045146,6.186062471650928,0,4.226749479612619,W008
SHP000018,2026-04-12,Ahmedabad,Delhi,EcoTrans,FMCG,495.94269940510947,309.09865660258583,219.18173714403122,8.154338203658279,7.59228110739015,0.5620570962681288,1,5.0,W004
SHP000019,2026-05-24,Kolkata,Pune,PrimeLogistics,Textiles,196.76266770471045,893.0809059826801,176.4279463563281,19.10012902116322,20.290076756744835,-1.1899477355816153,1,5.0,W007
SHP000020,2026-04-03,Chennai,Delhi,PrimeLogistics,Electronics,92.4259199508888,714.0855708394349,114.10098643060901,19.92743983112432,18.721976725909215,1.205463105215106,1,4.842230731595405,W001
SHP000021,2026-01-29,Bangalore,Pune,GlobalLine,Pharmaceuticals,16.96417559418961,641.1969393171885,54.241063077340186,16.342389536176405,16.451437376567128,-0.10904784039072268,1,4.670408848781761,W010
SHP000022,2026-01-17,Pune,Chennai,PrimeLogistics,Textiles,196.64699029826616,629.4282820495617,176.899545909188,14.624126121211384,14.752144380812702,-0.1280182596013173,1,4.415660981190234,W005
SHP000023,2026-05-22,Mumbai,Pune,FastShip,Textiles,347.5306800208001,551.5113335855594,273.39754490885093,15.85989574910659,13.350268734859927,2.5096270142466626,0,5.0,W005
SHP000024,2026-06-14,Hyderabad,Mumbai,EcoTrans,Pharmaceuticals,63.7865651165061,1117.9718997420412,94.68058312678353,22.720284654412236,30.198450101443914,-7.478165447031678,1,4.716851135198614,W003
SHP000025,2026-04-27,Mumbai,Pune,EcoTrans,Textiles,206.28675682049595,1387.3722875003366,164.4157092012336,30.40662591900958,34.78497263124171,-4.378346712232126,1,5.0,W003
SHP000026,2026-05-10,Delhi,Ahmedabad,EcoTrans,Textiles,106.48506848933437,431.29621510948374,77.43248811873653,8.435356660451662,10.489301679059507,-2.0539450186078447,1,4.838969241897162,W010
SHP000027,2026-02-20,Bangalore,Chennai,GlobalLine,Textiles,294.7714028537158,1652.7221803823102,282.69034361611506,28.807373566983184,41.61207952061857,-12.804705953635388,1,4.837754521085554,W009
SHP000028,2026-01-01,Hyderabad,Chennai,FastShip,Electronics,90.6045609946709,1804.7099401113207,245.84311332240839,32.16120685943244,46.559005640689236,-14.397798781256796,1,4.339771693457862,W006
SHP000029,2026-03-20,Chennai,Mumbai,GlobalLine,Textiles,254.78303108642683,1785.464206103723,285.3547303302491,49.58522616665302,46.15815967464789,3.4270664920051317,0,4.770437485548924,W002
SHP000030,2026-01-22,Ahmedabad,Pune,FastShip,Textiles,299.8079964620791,117.47439807159633,175.92561360031434,4.475737850996791,3.052103583247568,1.423634267749223,1,5.0,W003
SHP000031,2026-02-02,Ahmedabad,Kolkata,GlobalLine,Automotive,474.2904157405821,1453.1405205603182,334.82540159801897,40.519234487392886,34.80620037296698,5.713034114425909,0,4.813685268522806,W009
SHP000032,2026-06-05,Pune,Delhi,GlobalLine,Automotive,2653.4207596298215,1713.5244799389382,1509.9348470404989,40.86932843030662,43.540402782508075,-2.671074352201451,1,4.623131917821255,W007
SHP000033,2026-06-21,Hyderabad,Chennai,PrimeLogistics,Electronics,64.37212498898656,1948.7200540296467,202.46858767268836,42.43086850828883,53.30193525586245,-10.871066747573622,1,5.0,W004
SHP000034,2026-02-27,Delhi,Chennai,FastShip,Textiles,256.8318379085944,1055.010476899865,259.30805300795754,30.44602505351035,26.327898454021796,4.118126599488555,0,4.159608561843003,W009
SHP000035,2026-02-28,Chennai,Mumbai,FastShip,Electronics,58.791169402895946,1886.8713102705372,236.06167878186986,58.12484404891038,51.8685570501225,6.2562869987878855,0,4.312305105680382,W004
SHP000036,2026-01-18,Mumbai,Ahmedabad,EcoTrans,Electronics,145.41741360993728,1936.6441561829722,211.43575903454033,41.40004245220675,52.51802609862347,-11.117983646416725,1,4.242576387657068,W009
SHP000037,2026-03-02,Kolkata,Pune,PrimeLogistics,FMCG,253.32572765670272,422.03621870357574,178.47306232739908,14.150749804228255,11.65534413752736,2.4954056667008953,0,5.0,W009
